date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
4/1/2021,Maharashtra,2856163,43183,2.29042742582197,2433368,32641,85.1970983448774,54898,249,1.92208918048445,1364,19975341,16.0187177225341,5749202,770774,4.61042662389735,0.618102646351243
4/2/2021,Maharashtra,2904076,47913,2.32885004009623,2457494,24126,84.6222344043338,55379,481,1.90694045197164,1371,20158719,16.1657730553328,6247362,780138,5.00991339214114,0.625611868484362
4/3/2021,Maharashtra,2953523,49447,2.36850280673617,2495315,37821,84.4860527580114,55656,277,1.88439365462873,1380,20343123,16.3136511627907,6559094,795150,5.259898957498,0.637650360866079
4/4/2021,Maharashtra,3010597,57074,2.41427185244587,2522823,27508,83.7980971880328,55878,222,1.85604383449528,1393,20540111,16.4716206896552,6879975,806946,5.51722133119487,0.647109863672815
4/5/2021,Maharashtra,3057885,47288,2.4521932638332,2549075,26252,83.3607215444662,56033,155,1.83241030974023,1402,20715793,16.6125044105854,7298206,829042,5.85261106655974,0.664829190056135
4/6/2021,Maharashtra,3113354,55469,2.49667522052927,2583331,34256,82.9758196465934,56330,297,1.80930276479963,1410,20917486,16.7742469927827,7708299,851018,6.1814747393745,0.682452285485164
4/7/2021,Maharashtra,3173261,59907,2.54471611868484,2613627,30296,82.3640727945164,56652,322,1.78529279501434,1423,21148736,16.9596920609463,8075190,874370,6.47569366479551,0.701178829190056
4/8/2021,Maharashtra,3229547,56286,2.58985324779471,2649757,36130,82.0473273805893,57028,376,1.76582040762992,1445,21385551,17.1495998396151,8435010,903521,6.76424218123496,0.724555733761026
4/9/2021,Maharashtra,3288540,58993,2.63716118684844,2695148,45391,81.9557615233508,57329,301,1.74329641725507,1460,21631258,17.3466383319968,8702534,930190,6.97877626303128,0.745942261427426
4/10/2021,Maharashtra,3343951,55411,2.6815966319166,2748153,53005,82.1828130854788,57638,309,1.72364965874201,1478,21851235,17.5230433039294,8970148,953386,7.1933825180433,0.76454370489174
4/11/2021,Maharashtra,3407245,63294,2.73235364875702,2782161,34008,81.6542690648897,57987,349,1.70187350777534,1510,22114372,17.7340593424218,9220610,971743,7.39423416198877,0.779264635124298
4/12/2021,Maharashtra,3458996,51751,2.77385404971933,2834473,52312,81.9449632205415,58245,258,1.68387011722477,1532,22322393,17.9008765036087,9520725,1008651,7.63490376904571,0.808862068965517
4/13/2021,Maharashtra,3519208,60212,2.82213953488372,2866097,31624,81.4415345725516,58526,281,1.66304463958936,1543,22560051,18.0914603047314,9718039,1035908,7.79313472333601,0.830720128307939
4/14/2021,Maharashtra,3578160,58952,2.86941459502807,2905721,39624,81.2071288036309,58804,278,1.64341449236479,1565,22802200,18.2856455493184,10039359,1086075,8.05080914194066,0.870950280673617
4/15/2021,Maharashtra,3639855,61695,2.91888933440257,2959056,53335,81.2959856917377,59153,349,1.62514715558724,1586,23036652,18.4736583801123,10357897,1154831,8.30625260625501,0.92608740978348
4/16/2021,Maharashtra,3703584,63729,2.96999518845229,3004391,45335,81.1211788365,59551,398,1.60792896826425,1608,23308878,18.6919631114675,10659857,1227002,8.54840176423416,0.983963111467522
4/17/2021,Maharashtra,3770707,67123,3.02382277465918,3061174,56783,81.1830248279699,59970,419,1.59041792427786,1630,23580913,18.9101146752205,10850268,1289185,8.70109703287891,1.03382919005613
4/18/2021,Maharashtra,3839338,68631,3.07885966319166,3106828,45654,80.9209295977588,60473,503,1.57508924715667,1649,23854185,19.1292582197273,10959587,1314386,8.78876263031275,1.05403849238172
4/19/2021,Maharashtra,3898262,58924,3.12611226944667,3159240,52412,81.0422696063015,60824,351,1.56028507062891,1678,24075811,19.3069855653569,11240723,1409543,9.01421251002406,1.13034723336006
4/20/2021,Maharashtra,3960359,62097,3.17590938251804,3213464,54224,81.1407248686293,61343,519,1.54892523632327,1696,24341736,19.5202373696872,11447503,1497497,9.18003448275862,1.20087971130714
4/21/2021,Maharashtra,4027827,67468,3.23001363271852,3268449,54985,81.1467076416142,61911,568,1.53708190545423,1720,24614480,19.7389574979952,11692299,1587671,9.37634242181235,1.27319246190858
4/22/2021,Maharashtra,4094840,67013,3.28375300721732,3330747,62298,81.3401012005353,62479,568,1.52579832179035,1756,24895986,19.9647040898156,11967170,1707979,9.59676824378508,1.36967040898156
4/23/2021,Maharashtra,4161676,66836,3.33735044105854,3404792,74045,81.8130003392864,63252,773,1.51986843761984,1781,25173596,20.18732638332,12184898,1815094,9.7713696872494,1.45556856455493
4/24/2021,Maharashtra,4228836,67160,3.39120769847634,3468610,63818,82.0228072216563,63928,676,1.51171622640367,1818,25460008,20.4170072173216,12327006,1903207,9.88532959101844,1.52622854851644
4/25/2021,Maharashtra,4295027,66191,3.44428789093825,3530060,61450,82.1894716843456,64760,832,1.50779028862915,1853,25749543,20.6491924619086,12404727,1937989,9.94765597433841,1.55412109061748
4/26/2021,Maharashtra,4343727,48700,3.48334161988773,3601796,71736,82.9194836599998,65284,524,1.50294896525495,1877,25972018,20.8276006415397,12768755,2137788,10.239578989575,1.71434482758621
4/27/2021,Maharashtra,4410085,66358,3.53655573376103,3669548,67752,83.2081014311516,66179,895,1.50062867268998,1924,26254737,21.054319967923,13031376,2290991,10.4501812349639,1.83720208500401
4/28/2021,Maharashtra,4473394,63309,3.58732477947073,3730729,61181,83.398175971086,67214,1035,1.50252805811426,1970,26527862,21.2733456295108,13184829,2393333,10.5732389735365,1.91927265437049
4/29/2021,Maharashtra,4539553,66159,3.64037931034483,3799266,68537,83.692513337767,67985,771,1.49761441269658,2001,26816075,21.5044707297514,13360594,2510559,10.7141892542101,2.01327906976744
4/30/2021,Maharashtra,4602472,62919,3.69083560545309,3868976,69710,84.0629991882623,68813,828,1.49513131204275,2043,27106282,21.7371948676824,13562148,2622675,10.8758203688853,2.10318765036087
5/1/2021,Maharashtra,4665754,63282,3.74158299919808,3930302,61326,84.2372315385681,69615,802,1.49204180074646,2079,27395288,21.9689558941459,13662818,2659518,10.9565501202887,2.13273295910184
5/2/2021,Maharashtra,4722401,56647,3.78700962309543,3981658,51356,84.3142714902864,70284,669,1.48831071313088,2106,27652758,22.175427425822,13677535,2665223,10.9683520449078,2.13730793905373
5/3/2021,Maharashtra,4771022,48621,3.826,4041158,59500,84.7021455780334,70851,567,1.48502773619572,2143,27864426,22.3451692060946,13736214,2685938,11.0154081796311,2.15391980753809
5/4/2021,Maharashtra,4822902,51880,3.86760384923817,4107092,65934,85.1581060531605,71742,891,1.48752763377734,2158,28105382,22.5383977546111,13792116,2728757,11.0602373696873,2.18825741780273
5/5/2021,Maharashtra,4880542,57640,3.91382678428228,4164098,57006,85.3204008899012,72662,920,1.48881005429315,2186,28384582,22.7622951082598,13915088,2866631,11.1588516439455,2.29882197273456
5/6/2021,Maharashtra,4942736,62194,3.9637016840417,4227940,63842,85.5384548153088,73515,853,1.48733414044367,2206,28661668,22.9844971932638,14162312,3081145,11.3571066559743,2.47084603047314
5/7/2021,Maharashtra,4996758,54022,4.00702325581395,4265326,37386,85.3618686356233,74413,898,1.48922561388805,2231,28930580,23.2001443464314,14383450,3234269,11.5344426623897,2.59363993584603
5/8/2021,Maharashtra,5053336,56578,4.05239454691259,4347592,82266,86.0340970796321,75277,864,1.48964960968358,2254,29191331,23.4092469927827,14542681,3316183,11.6621339214114,2.65932878909383
5/9/2021,Maharashtra,5101737,48401,4.09120850040096,4407818,60226,86.3983776505923,75849,572,1.48672893173443,2287,29438797,23.6076960705694,14622137,3348054,11.7258516439455,2.68488692862871
5/10/2021,Maharashtra,5138973,37236,4.12106896551724,4469425,61607,86.9711710880754,76398,549,1.48663945111212,2332,29631127,23.7619302325581,14776548,3487664,11.8496776263031,2.79684362469928
5/11/2021,Maharashtra,5179929,40956,4.15391259021652,4541391,71966,87.6728426200436,77191,793,1.49019417061508,2351,29848791,23.9364803528468,15004133,3644405,12.0321836407378,2.92253809141941
5/12/2021,Maharashtra,5226710,46781,4.19142742582197,4600196,58805,88.013224380155,78007,816,1.49246849356479,2378,30100958,24.1386992782678,15154480,3811996,12.1527506014435,3.05693344025662
5/13/2021,Maharashtra,5269292,42582,4.22557497995189,4654731,54535,88.33693407008,78857,850,1.49653881394313,2410,30351356,24.3394995990377,15287399,4025544,12.2593416198877,3.22818283881315
5/14/2021,Maharashtra,5309215,39923,4.25759021651965,4707980,53249,88.6756328383763,79552,695,1.4983759369323,2429,30602140,24.5406094627105,15344900,4124773,12.3054530874098,3.30775701684042
5/15/2021,Maharashtra,5344063,34848,4.28553568564555,4767053,59073,89.2027844731621,80512,960,1.50656906552187,2466,30839404,24.7308773055333,15465331,4198732,12.4020296712109,3.36706655974338
5/16/2021,Maharashtra,5378452,34389,4.31311307137129,4826371,59318,89.7353178944425,81486,974,1.51504559304424,2486,31103991,24.9430561347233,15512475,4220839,12.4398356054531,3.38479470729751
5/17/2021,Maharashtra,5405068,26616,4.33445709703288,4874582,48211,90.1853963724416,82486,1000,1.52608625830424,2505,31338407,25.131040096231,15584197,4249319,12.4973512429832,3.40763352044908
5/18/2021,Maharashtra,5433506,28438,4.35726222935044,4927480,52898,90.6869339980484,83777,1291,1.54185897650615,2522,31588717,25.3317698476343,15669832,4269980,12.5660240577386,3.42420208500401
5/19/2021,Maharashtra,5467537,34031,4.38455252606255,4978937,51457,91.0636178593762,84371,594,1.54312627422549,2534,31874364,25.5608372093023,15743864,4297784,12.6253921411387,3.44649879711307
5/20/2021,Maharashtra,5497448,29911,4.40853889334403,5026308,47371,91.4298416283337,85355,984,1.5526295110022,2532,32154275,25.7853047313553,16123408,4341785,12.929757818765,3.48178428227747
5/21/2021,Maharashtra,5527092,29644,4.43231114675221,5070801,44493,91.7444652631076,86618,1263,1.56715321547027,2552,32441776,26.015858861267,16222952,4364605,13.0095846030473,3.500084202085
5/22/2021,Maharashtra,5553225,26133,4.45326784282277,5111095,40294,92.0383200752716,87300,682,1.57205947895142,2583,32723361,26.2416688051323,16324914,4385997,13.0913504410585,3.51723897353649
5/23/2021,Maharashtra,5579897,26672,4.47465677626303,5140272,29177,92.1212703388611,88620,1320,1.5882013592724,2610,33013516,26.4743512429832,16370365,4389828,13.1277987169206,3.52031114675221
5/24/2021,Maharashtra,5602019,22122,4.49239695268645,5182592,42320,92.5129314984473,89212,592,1.59249727642837,2635,33277290,26.6858781074579,16607417,4406325,13.3178965517241,3.53354049719326
5/25/2021,Maharashtra,5626155,24136,4.5117522052927,5218768,36176,92.7590512525872,90349,1137,1.60587470483838,2670,33541565,26.8978067361668,16791838,4420595,13.4657882919006,3.54498396150762
5/26/2021,Maharashtra,5650907,24752,4.53160144346431,5241833,23065,92.7609143098621,91341,992,1.61639538573188,2691,33824959,27.125067361668,16920616,4431707,13.5690585404972,3.5538949478749
5/27/2021,Maharashtra,5672180,21273,4.54866078588613,5276203,34370,93.0189627268528,92225,884,1.62591807735298,2711,34086110,27.3344907778669,17181179,4458657,13.77801042502,3.57550681635926
5/28/2021,Maharashtra,5692920,20740,4.56529270248597,5307874,31671,93.2364059217414,93198,973,1.63708606479627,2760,34350186,27.5462598235766,17426603,4487246,13.9748219727346,3.59843303929431
5/29/2021,Maharashtra,5713215,20295,4.58156776263031,5339838,31964,93.4646779440298,94030,832,1.64583338803108,2774,34608945,27.7537650360866,17699104,4521400,14.1933472333601,3.62582197273456
5/30/2021,Maharashtra,5731815,18600,4.59648356054531,5362370,22532,93.5544849231875,94844,814,1.65469401925917,2800,34861608,27.9563817161187,17774757,4532241,14.2540152365678,3.63451563753007
5/31/2021,Maharashtra,5746892,15077,4.60857417802727,5395370,33000,93.8832676862555,95344,500,1.65905327610124,2811,35055054,28.1115108259824,18005790,4569691,14.439286287089,3.66454771451484
6/1/2021,Maharashtra,5761015,14123,4.61989975942261,5431319,35949,94.2771195700758,96198,854,1.66980992064766,2817,35277653,28.2900184442662,18216503,4616240,14.6082622293504,3.70187650360866
6/2/2021,Maharashtra,5776184,15169,4.63206415396953,5460589,29270,94.536271697716,96751,553,1.67499858037763,2828,35514594,28.480027265437,18400557,4651517,14.7558596631917,3.73016599839615
6/3/2021,Maharashtra,5791413,15229,4.64427666399358,5486206,25617,94.7300080308554,97394,643,1.6816966774775,2839,35774626,28.6885533279872,18612983,4679276,14.9262093023256,3.75242662389735
6/4/2021,Maharashtra,5805565,14152,4.65562550120289,5507058,20852,94.8582609961304,98771,1377,1.70131589259616,2842,36031395,28.8944627105052,18940778,4727545,15.1890761828388,3.79113472333601
6/5/2021,Maharashtra,5819224,13659,4.66657898957498,5528834,21776,95.0098157417553,99512,741,1.71005618618565,2851,36271483,29.0869951884523,19251016,4771315,15.4378636728148,3.82623496391339
6/6/2021,Maharashtra,5831781,12557,4.67664875701684,5543267,14433,95.0527291748439,100130,618,1.71697119627778,2857,36508967,29.2774394546913,19331541,4784458,15.5024386527666,3.83677465918204
6/7/2021,Maharashtra,5842000,10219,4.68484362469928,5564348,21081,95.2473125641903,100470,340,1.71978774392331,2862,36696139,29.4275372894948,19559193,4852055,15.6849983961508,3.89098235765838
6/8/2021,Maharashtra,5852891,10891,4.69357738572574,5580925,16577,95.3533048881313,101172,702,1.72858165306683,2867,36907181,29.5967770649559,19748461,4932788,15.8367770649559,3.95572413793103
6/9/2021,Maharashtra,5863880,10989,4.70238973536488,5597304,16379,95.453931526566,101833,661,1.736614664693,2879,37128093,29.7739318364074,20007070,5008476,16.0441619887731,4.0164202085004
