date,state,confirmed,new conf,% of conf,% of new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
4/1/2021,Tamil Nadu,889490,2817,4.51948057754886,0.014313119638169,1.12879441624365,859709,1634,96.6519016515082,12738,19,1.43205657174336,0,19681244,24.9761979695431,2835444,279179,3.59827918781726,0.35428807106599
4/2/2021,Tamil Nadu,892780,3290,4.51644659794378,0.016643640434637,1.13296954314721,861424,1715,96.487824548041,12750,12,1.42812338986088,0,19767310,25.0854187817259,2829190,272288,3.59034263959391,0.345543147208122
4/3/2021,Tamil Nadu,896226,3446,4.51513165040655,0.017360736764277,1.13734263959391,863258,1834,96.3214635594147,12764,14,1.42419434383738,0,19849388,25.189578680203,2871776,279902,3.64438578680203,0.355205583756345
4/4/2021,Tamil Nadu,899807,3581,4.51434336406471,0.017965923344357,1.14188705583756,865071,1813,96.1396166066723,12778,14,1.42008230653907,0,19932179,25.2946434010152,2901208,285389,3.68173604060914,0.362168781725888
4/5/2021,Tamil Nadu,903479,3672,4.51463317315632,0.01834877513681,1.14654695431472,866913,1842,95.9527559578031,12789,11,1.4155281971136,0,20012235,25.3962373096447,2907580,298198,3.68982233502538,0.37842385786802
4/6/2021,Tamil Nadu,907124,3645,4.51460653813791,0.018140563838585,1.15117258883249,868722,1809,95.766620660461,12804,15,1.41149390821982,0,20093091,25.4988464467005,2935315,304106,3.72501903553299,0.385921319796954
4/7/2021,Tamil Nadu,911110,3986,4.51634227778388,0.019758470787552,1.15623096446701,870546,1824,95.5478482290832,12821,17,1.4071846429081,0,20173626,25.6010482233503,2976866,315243,3.77774873096447,0.400054568527919
4/8/2021,Tamil Nadu,915386,4276,4.51843724836686,0.02110676553281,1.16165736040609,872415,1869,95.3056961762579,12840,19,1.40268695391889,0,20258907,25.7092728426396,3062266,339932,3.88612436548223,0.43138578680203
4/9/2021,Tamil Nadu,920827,5441,4.5256062281682,0.026740987707206,1.16856218274112,874305,1890,94.9478023559257,12863,23,1.39689648544189,0,20347042,25.8211192893401,3168084,365785,4.02041116751269,0.464194162436548
4/10/2021,Tamil Nadu,926816,5989,4.53619170472701,0.029312454812617,1.17616243654822,876257,1952,94.5448719055347,12886,23,1.39035148292649,0,20431588,25.9284111675127,3275326,391223,4.15650507614213,0.496475888324873
4/11/2021,Tamil Nadu,933434,6618,4.54887070381537,0.032251263954227,1.18456091370558,878571,2314,94.1224553637429,12908,22,1.38285084965836,0,20520126,26.040769035533,3316627,398666,4.20891751269036,0.505921319796954
4/12/2021,Tamil Nadu,940145,6711,4.56312222408386,0.032572755527952,1.19307741116751,880910,2339,93.6993761600604,12927,19,1.37500066479107,0,20603108,26.146076142132,3450649,431129,4.3789961928934,0.547118020304569
4/13/2021,Tamil Nadu,947129,6984,4.57850166582554,0.033761246497706,1.20194035532995,884199,3289,93.3557097290865,12945,18,1.36676207781622,0,20686440,26.2518274111675,3567442,453618,4.52721065989848,0.575657360406091
4/14/2021,Tamil Nadu,954948,7819,4.59460661001184,0.037620089349035,1.21186294416244,887663,3464,92.9540666088625,12970,25,1.35818913700013,0,20784108,26.3757715736041,3641255,469197,4.62088197969543,0.595427664974619
4/15/2021,Tamil Nadu,962935,7987,4.61186920469101,0.03825284088528,1.22199873096447,891839,4176,92.6167394476263,12999,29,1.34993535389201,0,20879495,26.4968210659898,3808634,515120,4.83329187817259,0.653705583756345
4/16/2021,Tamil Nadu,971384,8449,4.63077693455633,0.040278030439112,1.23272081218274,896759,4920,92.317662222149,13032,33,1.34159096711496,0,20976696,26.6201725888325,3969605,562878,5.03756979695431,0.714312182741117
4/17/2021,Tamil Nadu,980728,9344,4.65296168900486,0.044331633258214,1.24457868020305,902022,5263,91.9747371340474,13071,39,1.33278544101932,0,21077500,26.7480964467005,4064944,605837,5.15855837563452,0.768828680203046
4/18/2021,Tamil Nadu,991451,10723,4.67938603798537,0.050609718972816,1.25818654822335,907947,5925,91.5775968756903,13113,42,1.32260696696055,0,21187630,26.8878553299492,4091849,620052,5.19270177664975,0.786868020304568
4/19/2021,Tamil Nadu,1002392,10941,4.70623806881191,0.051368078267655,1.27207106598985,914119,6172,91.1937645152795,13157,44,1.31256035562933,0,21299220,27.0294670050761,4147880,666782,5.26380710659898,0.846170050761421
4/20/2021,Tamil Nadu,1013378,10986,4.7352897348568,0.051335131636109,1.28601269035533,920369,6250,90.8218848248137,13205,48,1.30306756215351,0,21400549,27.158057106599,4187801,704687,5.31446827411168,0.894272842639594
4/21/2021,Tamil Nadu,1025059,11681,4.76478870424265,0.054296871550085,1.30083629441624,927440,7071,90.4767432898984,13258,53,1.29338896590343,0,21513210,27.3010279187817,4223499,742450,5.35977030456853,0.942195431472081
4/22/2021,Tamil Nadu,1037711,12652,4.7978065236254,0.058495908915785,1.3168921319797,934966,7526,90.0988810950255,13317,59,1.28330527478267,0,21628863,27.4477956852792,4269535,807443,5.41819162436548,1.02467385786802
4/23/2021,Tamil Nadu,1051487,13776,4.83343274591651,0.063324957424815,1.33437436548223,943044,8078,89.686700834152,13395,78,1.27391018624101,0,21754456,27.6071776649746,4323789,883047,5.48704187817259,1.12061802030457
4/24/2021,Tamil Nadu,1066329,14842,4.87349415045785,0.067833098585048,1.35320939086294,952186,9142,89.2957051716684,13475,80,1.2636812841065,0,21880174,27.7667182741117,4377101,951710,5.55469670050761,1.2077538071066
4/25/2021,Tamil Nadu,1081988,15659,4.91668087460816,0.071156339825848,1.37308121827411,963251,11065,89.0260335604461,13557,82,1.25297138230738,0,22006472,27.9269949238579,4388488,962896,5.56914720812183,1.22194923857868
4/26/2021,Tamil Nadu,1097672,15684,4.96085807091682,0.070882830193591,1.3929847715736,976876,13625,88.9952554132747,13651,94,1.24363197749419,0,22126656,28.0795126903553,4440851,1043782,5.63559771573604,1.32459644670051
4/27/2021,Tamil Nadu,1113502,15830,5.00490713745221,0.071151807527843,1.41307360406091,990919,14043,88.9912186956108,13728,77,1.23286711653863,0,22248205,28.2337626903553,4496115,1129976,5.70572969543147,1.43397969543147
4/28/2021,Tamil Nadu,1130167,16665,5.05029281337363,0.074469640092899,1.43422208121827,1006033,15114,89.0163135182677,13826,98,1.22335902570151,0,22378247,28.3987906091371,4544687,1196900,5.7673692893401,1.51890862944162
