date,state,confirmed,new conf,% of infected,recovered,new rec,% of rec,dead,new dead,% of dead,other,tested,% of tested,first dose,second dose,% of first dose,% of second dose
4/1/2021,Uttar Pradesh,619783,2589,0.257171369294606,599045,510,96.653990186888,8820,9,1.42307872271424,0,34922434,14.4906365145228,4766418,931369,1.97776680497925,0.386460165975104
4/2/2021,Uttar Pradesh,622736,2953,0.258396680497925,599827,782,96.3212340381799,8836,16,1.41889982271781,0,35070062,14.5518929460581,5366904,1061169,2.22693112033195,0.440319087136929
4/3/2021,Uttar Pradesh,625923,3187,0.259719087136929,600577,750,95.9506201242006,8850,14,1.41391193485461,0,35236205,14.6208319502075,5571181,1071915,2.31169336099585,0.444778008298755
4/4/2021,Uttar Pradesh,630059,4136,0.261435269709544,601440,863,95.4577269747754,8881,31,1.40955053415633,0,35413966,14.6945917012448,5683248,1078039,2.35819419087137,0.44731908713693
4/5/2021,Uttar Pradesh,634033,3974,0.263084232365145,602319,879,94.9980521518596,8894,13,1.40276610207986,0,35575232,14.7615070539419,6071090,1127282,2.5191244813278,0.467751867219917
4/6/2021,Uttar Pradesh,639928,5895,0.265530290456432,603495,1176,94.3067032541161,8924,30,1.39453188483704,0,35754807,14.8360195020747,6478775,1162710,2.68828838174274,0.482452282157676
4/7/2021,Uttar Pradesh,645930,6002,0.268020746887967,604979,1484,93.6601489325469,8964,40,1.38776647624356,0,35942111,14.9137390041494,6672131,1175491,2.76851908713693,0.487755601659751
4/8/2021,Uttar Pradesh,654404,8474,0.271536929460581,606063,1084,92.6129730258372,9003,39,1.37575564941535,0,36147340,14.9988962655602,6951956,1193205,2.88462904564315,0.495105809128631
4/9/2021,Uttar Pradesh,663991,9587,0.275514937759336,606646,583,91.3635877594726,9039,36,1.36131363226309,0,36344993,15.0809099585062,7170213,1226991,2.97519211618257,0.50912489626556
4/10/2021,Uttar Pradesh,676739,12748,0.280804564315353,608853,2207,89.9686585227096,9085,46,1.3424673323098,0,36557245,15.1689813278008,7255844,1238115,3.01072365145228,0.513740663900415
4/11/2021,Uttar Pradesh,692015,15276,0.287143153526971,611622,2769,88.3827662695173,9152,67,1.32251468537532,0,36761069,15.2535556016598,7559629,1265790,3.1367755186722,0.525224066390041
4/12/2021,Uttar Pradesh,705619,13604,0.292787966804979,614819,3197,87.1318657802582,9224,72,1.30722103571474,0,36954537,15.333832780083,8016090,1343474,3.32617842323651,0.557458091286307
4/13/2021,Uttar Pradesh,723582,17963,0.300241493775934,618293,3474,85.4489194037442,9309,85,1.28651624833122,0,37173548,15.4247087136929,8331287,1388612,3.45696556016598,0.57618755186722
