date,state,first dose,second dose,total dose,% of first dose,% of second dose
1/16/2021,Andhra Pradesh,18412,0,18412,0.033721612,0
1/18/2021,Andhra Pradesh,46680,0,46680,0.085494505,0
1/19/2021,Andhra Pradesh,58495,0,58495,0.1071337,0
1/20/2021,Andhra Pradesh,91778,0,91778,0.168091575,0
1/21/2021,Andhra Pradesh,115365,0,115365,0.211291209,0
1/22/2021,Andhra Pradesh,133298,0,133298,0.244135531,0
1/23/2021,Andhra Pradesh,147030,0,147030,0.269285714,0
1/24/2021,Andhra Pradesh,147030,0,147030,0.269285714,0
1/25/2021,Andhra Pradesh,156120,0,156120,0.285934066,0
1/26/2021,Andhra Pradesh,156129,0,156129,0.285950549,0
1/27/2021,Andhra Pradesh,163727,0,163727,0.2998663,0
1/28/2021,Andhra Pradesh,171683,0,171683,0.314437729,0
1/29/2021,Andhra Pradesh,179038,0,179038,0.327908425,0
1/30/2021,Andhra Pradesh,187252,0,187252,0.342952381,0
1/31/2021,Andhra Pradesh,187252,0,187252,0.342952381,0
02-01-2021,Andhra Pradesh,187252,0,187252,0.342952381,0
02-02-2021,Andhra Pradesh,187252,0,187252,0.342952381,0
02-03-2021,Andhra Pradesh,215171,0,215171,0.394086081,0
02-04-2021,Andhra Pradesh,243243,0,243243,0.4455,0
02-05-2021,Andhra Pradesh,272190,0,272190,0.498516484,0
02-06-2021,Andhra Pradesh,299649,0,299649,0.548807692,0
02-07-2021,Andhra Pradesh,299649,0,299649,0.548807692,0
02-08-2021,Andhra Pradesh,314316,0,314316,0.57567033,0
02-09-2021,Andhra Pradesh,325538,0,325538,0.596223443,0
02-10-2021,Andhra Pradesh,335268,0,335268,0.614043956,0
02-11-2021,Andhra Pradesh,343813,0,343813,0.629694139,0
02-12-2021,Andhra Pradesh,351993,0,351993,0.644675824,0
2/13/2021,Andhra Pradesh,356521,5820,362341,0.652968864,0.010659341
2/14/2021,Andhra Pradesh,356521,5820,362341,0.652968864,0.010659341
2/15/2021,Andhra Pradesh,361814,14630,376444,0.662663004,0.026794872
2/16/2021,Andhra Pradesh,366523,24142,390665,0.671287546,0.044216117
2/17/2021,Andhra Pradesh,376308,35475,411783,0.689208791,0.064972527
2/18/2021,Andhra Pradesh,386770,51996,438766,0.708369963,0.095230769
2/19/2021,Andhra Pradesh,398108,71707,469815,0.729135531,0.131331502
2/20/2021,Andhra Pradesh,407935,85536,493471,0.7471337,0.156659341
2/21/2021,Andhra Pradesh,413678,89645,503323,0.757652015,0.164184982
2/22/2021,Andhra Pradesh,427444,102376,529820,0.782864469,0.187501832
2/23/2021,Andhra Pradesh,445327,111483,556810,0.815617216,0.204181319
2/24/2021,Andhra Pradesh,472460,120443,592903,0.865311355,0.220591575
2/25/2021,Andhra Pradesh,503858,130591,634449,0.92281685,0.239177656
2/26/2021,Andhra Pradesh,529607,139337,668944,0.96997619,0.255195971
2/27/2021,Andhra Pradesh,529607,139337,668944,0.96997619,0.255195971
2/28/2021,Andhra Pradesh,529607,139337,668944,0.96997619,0.255195971
03-01-2021,Andhra Pradesh,541202,142431,683633,0.991212454,0.260862637
03-02-2021,Andhra Pradesh,554530,144834,699364,1.015622711,0.265263736
03-03-2021,Andhra Pradesh,574200,148401,722601,1.051648352,0.271796703
03-04-2021,Andhra Pradesh,594085,154853,748938,1.088067766,0.283613553
03-05-2021,Andhra Pradesh,619712,166166,785878,1.135003663,0.304333333
03-06-2021,Andhra Pradesh,651309,182716,834025,1.192873626,0.334644689
03-07-2021,Andhra Pradesh,651309,182716,834025,1.192873626,0.334644689
03-08-2021,Andhra Pradesh,686405,195839,882244,1.257152015,0.358679487
