date,state,first dose,second dose,total dose,% of first dose,% of second dose
1/16/2021,Kerala,8062,0,8062,0.022519553,0
1/18/2021,Kerala,15477,0,15477,0.043231844,0
1/19/2021,Kerala,23855,0,23855,0.066634078,0
1/20/2021,Kerala,24269,0,24269,0.067790503,0
1/21/2021,Kerala,35173,0,35173,0.098248603,0
1/22/2021,Kerala,47293,0,47293,0.132103352,0
1/23/2021,Kerala,53529,0,53529,0.149522346,0
1/24/2021,Kerala,53529,0,53529,0.149522346,0
1/25/2021,Kerala,71973,0,71973,0.201041899,0
1/26/2021,Kerala,71973,0,71973,0.201041899,0
1/27/2021,Kerala,82970,0,82970,0.231759777,0
1/28/2021,Kerala,106583,0,106583,0.297717877,0
1/29/2021,Kerala,135835,0,135835,0.379427374,0
1/30/2021,Kerala,158687,0,158687,0.443259777,0
1/31/2021,Kerala,165171,0,165171,0.461371508,0
02-01-2021,Kerala,193925,0,193925,0.541689944,0
02-02-2021,Kerala,224846,0,224846,0.628061453,0
02-03-2021,Kerala,246043,0,246043,0.68727095,0
02-04-2021,Kerala,270992,0,270992,0.756960894,0
02-05-2021,Kerala,286132,0,286132,0.799251397,0
02-06-2021,Kerala,291852,0,291852,0.81522905,0
02-07-2021,Kerala,292342,0,292342,0.816597765,0
02-08-2021,Kerala,307998,0,307998,0.860329609,0
02-09-2021,Kerala,322016,0,322016,0.899486034,0
02-10-2021,Kerala,326246,0,326246,0.911301676,0
02-11-2021,Kerala,333560,0,333560,0.931731844,0
02-12-2021,Kerala,345197,0,345197,0.96423743,0
2/13/2021,Kerala,356322,0,356322,0.995312849,0
2/14/2021,Kerala,358529,46,358575,1.001477654,0.000128492
2/15/2021,Kerala,367367,3570,370937,1.026164804,0.009972067
2/16/2021,Kerala,375441,12815,388256,1.048717877,0.035796089
2/17/2021,Kerala,379034,16153,395187,1.05875419,0.045120112
2/18/2021,Kerala,386901,23948,410849,1.08072905,0.066893855
2/19/2021,Kerala,392993,32060,425053,1.09774581,0.089553073
2/20/2021,Kerala,399064,38829,437893,1.114703911,0.108460894
2/21/2021,Kerala,399284,38829,438113,1.115318436,0.108460894
2/22/2021,Kerala,405697,56232,461929,1.133231844,0.157072626
2/23/2021,Kerala,414509,62299,476808,1.157846369,0.174019553
2/24/2021,Kerala,422669,70600,493269,1.180639665,0.197206704
2/25/2021,Kerala,441597,88877,530474,1.233511173,0.248259777
2/26/2021,Kerala,482445,104866,587311,1.347611732,0.292921788
2/27/2021,Kerala,482445,104866,587311,1.347611732,0.292921788
2/28/2021,Kerala,482445,104866,587311,1.347611732,0.292921788
03-01-2021,Kerala,511510,113613,625123,1.428798883,0.317354749
03-02-2021,Kerala,541951,120762,662713,1.513829609,0.337324022
03-03-2021,Kerala,573353,128161,701514,1.601544693,0.35799162
03-04-2021,Kerala,662393,148454,810847,1.850259777,0.414675978
03-05-2021,Kerala,736363,166495,902858,2.056879888,0.465069832
03-06-2021,Kerala,819410,183899,1003309,2.288854749,0.513684358
03-07-2021,Kerala,835572,185422,1020994,2.334,0.517938547
03-08-2021,Kerala,926083,203608,1129691,2.586824022,0.56873743
03-09-2021,Kerala,1012344,221228,1233572,2.827776536,0.617955307
03-10-2021,Kerala,1056499,232717,1289216,2.951114525,0.650047486
03-11-2021,Kerala,1105629,240623,1346252,3.088349162,0.672131285
03-12-2021,Kerala,1211414,257856,1469270,3.383837989,0.720268156
3/13/2021,Kerala,1274773,266575,1541348,3.560818436,0.744622905
3/14/2021,Kerala,1281316,267367,1548683,3.579094972,0.746835196
3/15/2021,Kerala,1408459,280907,1689366,3.934243017,0.784656425
3/16/2021,Kerala,1540945,295270,1836215,4.304315642,0.824776536
3/17/2021,Kerala,1587659,303772,1891431,4.434801676,0.84852514
3/18/2021,Kerala,1727014,315358,2042372,4.824061453,0.880888268
3/19/2021,Kerala,1852920,326417,2179337,5.17575419,0.91177933
3/20/2021,Kerala,1962681,334495,2297176,5.482349162,0.934343575
3/21/2021,Kerala,1968582,334671,2303253,5.498832402,0.934835196
3/22/2021,Kerala,2089462,342811,2432273,5.836486034,0.957572626
3/23/2021,Kerala,2203867,354677,2558544,6.156053073,0.990717877
3/24/2021,Kerala,2260396,358455,2618851,6.313955307,1.00127095
3/25/2021,Kerala,2408804,363741,2772545,6.728502793,1.016036313
3/26/2021,Kerala,2536834,368111,2904945,7.086128492,1.028243017
3/27/2021,Kerala,2647764,371882,3019646,7.395988827,1.038776536
3/28/2021,Kerala,2659617,371993,3031610,7.429097765,1.039086592
3/29/2021,Kerala,2805410,376210,3181620,7.836340782,1.050865922
3/30/2021,Kerala,2957153,382708,3339861,8.260203911,1.06901676
3/31/2021,Kerala,3015107,386811,3401918,8.422086592,1.080477654
04-01-2021,Kerala,3099836,390298,3490134,8.658759777,1.090217877
04-02-2021,Kerala,3308955,411492,3720447,9.242891061,1.149418994
04-03-2021,Kerala,3430171,419834,3850005,9.58148324,1.17272067
04-04-2021,Kerala,3462664,421560,3884224,9.67224581,1.177541899
04-05-2021,Kerala,3597752,433230,4030982,10.04958659,1.210139665
04-06-2021,Kerala,3623797,435667,4059464,10.12233799,1.216946927
04-07-2021,Kerala,3706748,442665,4149413,10.35404469,1.236494413
04-08-2021,Kerala,3899535,457416,4356951,10.89255587,1.277698324
04-09-2021,Kerala,4099030,476570,4575600,11.44980447,1.331201117
04-10-2021,Kerala,4270953,492900,4763853,11.93003631,1.376815642
04-11-2021,Kerala,4333801,496868,4830669,12.10558939,1.387899441
04-12-2021,Kerala,4571678,526506,5098184,12.77005028,1.470687151
4/13/2021,Kerala,4714426,553106,5267532,13.16878771,1.544988827
4/14/2021,Kerala,4730171,557313,5287484,13.21276816,1.556740223
4/15/2021,Kerala,4899857,597159,5497016,13.6867514,1.668041899
4/16/2021,Kerala,5042561,639411,5681972,14.08536592,1.786064246
4/17/2021,Kerala,5158593,673960,5832553,14.40947765,1.882569832
4/18/2021,Kerala,5189796,680436,5870232,14.49663687,1.900659218
4/19/2021,Kerala,5299366,727439,6026805,14.80269832,2.031952514
4/20/2021,Kerala,5443585,800248,6243833,15.20554469,2.235329609
4/21/2021,Kerala,5512420,841334,6353754,15.39782123,2.350094972
4/22/2021,Kerala,5603437,900680,6504117,15.65205866,2.515865922
4/23/2021,Kerala,5673951,954462,6628413,15.84902514,2.666094972
4/24/2021,Kerala,5788558,1039192,6827750,16.16915642,2.90277095
4/25/2021,Kerala,5801268,1045794,6847062,16.20465922,2.921212291
4/26/2021,Kerala,5885342,1106058,6991400,16.43950279,3.089547486
4/27/2021,Kerala,5947415,1159657,7107072,16.61289106,3.239265363
4/28/2021,Kerala,5967887,1176235,7144122,16.67007542,3.285572626
4/29/2021,Kerala,6006406,1222823,7229229,16.77767039,3.415706704
4/30/2021,Kerala,6051411,1325775,7377186,16.90338268,3.703282123
05-01-2021,Kerala,6072156,1356764,7428920,16.96132961,3.789843575
05-02-2021,Kerala,6069748,1356416,7426164,16.95460335,3.788871508
05-03-2021,Kerala,6089361,1419076,7508437,17.00938827,3.963899441
05-04-2021,Kerala,6105329,1466846,7572175,17.05399162,4.097335196
05-05-2021,Kerala,6112746,1482075,7594821,17.0747095,4.139874302
05-06-2021,Kerala,6128668,1567209,7695877,17.11918436,4.377678771
05-07-2021,Kerala,6153727,1700323,7854050,17.18918156,4.749505587
05-08-2021,Kerala,6169344,1764559,7933903,17.23280447,4.928935754
05-09-2021,Kerala,6169750,1764719,7934469,17.23393855,4.929382682
05-10-2021,Kerala,6192936,1849301,8042237,17.29870391,5.165645251
05-11-2021,Kerala,6210968,1901898,8112866,17.34907263,5.312564246
05-12-2021,Kerala,6227392,1927844,8155236,17.39494972,5.385039106
