date,state,first dose,second dose,total dose,% of first dose,% of second dose
1/16/2021,Maharashtra,18328,0,18328,0.014697674418605,0
1/18/2021,Maharashtra,18582,0,18582,0.014901363271853,0
1/19/2021,Maharashtra,30247,0,30247,0.024255813953488,0
1/20/2021,Maharashtra,52055,0,52055,0.041744186046512,0
1/21/2021,Maharashtra,52393,0,52393,0.042015236567763,0
1/22/2021,Maharashtra,74960,0,74960,0.060112269446672,0
1/23/2021,Maharashtra,99885,0,99885,0.080100240577386,0
1/24/2021,Maharashtra,99885,0,99885,0.080100240577386,0
1/25/2021,Maharashtra,136901,0,136901,0.109784282277466,0
1/26/2021,Maharashtra,136901,0,136901,0.109784282277466,0
1/27/2021,Maharashtra,179509,0,179509,0.143952686447474,0
1/28/2021,Maharashtra,220587,0,220587,0.176894145950281,0
1/29/2021,Maharashtra,261320,0,261320,0.209558941459503,0
1/30/2021,Maharashtra,269064,0,269064,0.215769045709703,0
1/31/2021,Maharashtra,269064,0,269064,0.215769045709703,0
2/1/2021,Maharashtra,310825,0,310825,0.249258219727346,0
2/2/2021,Maharashtra,318744,0,318744,0.255608660785886,0
2/3/2021,Maharashtra,354633,0,354633,0.284388933440257,0
2/4/2021,Maharashtra,389577,0,389577,0.312411387329591,0
2/5/2021,Maharashtra,434943,0,434943,0.348791499599038,0
2/6/2021,Maharashtra,473480,0,473480,0.379695268644747,0
2/7/2021,Maharashtra,473480,0,473480,0.379695268644747,0
2/8/2021,Maharashtra,512476,0,512476,0.410967121090618,0
2/9/2021,Maharashtra,536436,0,536436,0.430181234963913,0
2/10/2021,Maharashtra,573681,0,573681,0.460048917401764,0
2/11/2021,Maharashtra,608573,0,608573,0.488029671210906,0
2/12/2021,Maharashtra,649660,0,649660,0.520978348035285,0
2/13/2021,Maharashtra,682420,189,682609,0.547249398556536,0.000151563753007
2/14/2021,Maharashtra,682744,189,682933,0.547509222133119,0.000151563753007
2/15/2021,Maharashtra,708276,4857,713133,0.567983961507618,0.0038949478749
2/16/2021,Maharashtra,731537,9294,740831,0.586637530072173,0.007453087409783
2/17/2021,Maharashtra,764965,16835,781800,0.613444266238974,0.01350040096231
2/18/2021,Maharashtra,814682,24884,839566,0.653313552526063,0.019955092221331
2/19/2021,Maharashtra,831921,28465,860386,0.667137931034483,0.022826784282278
2/20/2021,Maharashtra,875752,46976,922728,0.702287089013633,0.037671210906175
2/21/2021,Maharashtra,878829,47637,926466,0.70475461106656,0.038201283079391
2/22/2021,Maharashtra,916977,68978,985955,0.735346431435445,0.055315156375301
2/23/2021,Maharashtra,948539,80824,1029363,0.760656776263031,0.064814755412991
2/24/2021,Maharashtra,981359,105752,1087111,0.786975942261427,0.084805132317562
2/25/2021,Maharashtra,1010322,131968,1142290,0.81020208500401,0.105828388131516
2/26/2021,Maharashtra,1041947,160233,1202180,0.835562951082598,0.128494787489976
2/27/2021,Maharashtra,1041947,160233,1202180,0.835562951082598,0.128494787489976
2/28/2021,Maharashtra,1041947,160233,1202180,0.835562951082598,0.128494787489976
3/1/2021,Maharashtra,1063187,173817,1237004,0.852595829991981,0.139388131515638
3/2/2021,Maharashtra,1100898,184183,1285081,0.882837209302326,0.147700882117081
3/3/2021,Maharashtra,1168251,200658,1368909,0.936849238171612,0.16091259021652
3/4/2021,Maharashtra,1254197,217253,1471450,1.00577145148356,0.174220529270249
3/5/2021,Maharashtra,1359974,237484,1597458,1.0905966319166,0.190444266238974
3/6/2021,Maharashtra,1482838,261582,1744420,1.18912429831596,0.209769045709703
3/7/2021,Maharashtra,1484440,261625,1746065,1.19040898155573,0.209803528468324
3/8/2021,Maharashtra,1654605,285764,1940369,1.32686848436247,0.229161186848436
3/9/2021,Maharashtra,1783789,305357,2089146,1.43046431435445,0.244873295910184
3/10/2021,Maharashtra,1981629,336067,2317696,1.58911708099439,0.26950040096231
3/11/2021,Maharashtra,2053729,344672,2398401,1.64693584603047,0.276400962309543
3/12/2021,Maharashtra,2275285,378072,2653357,1.82460705693665,0.303185244587009
3/13/2021,Maharashtra,2385928,397395,2783323,1.91333440256616,0.318680834001604
3/14/2021,Maharashtra,2427213,404937,2832150,1.94644186046512,0.324728949478749
3/15/2021,Maharashtra,2658293,438754,3097047,2.13175060144346,0.351847634322374
3/16/2021,Maharashtra,2862885,466502,3329387,2.29581796311147,0.374099438652767
3/17/2021,Maharashtra,3105169,498255,3603424,2.49011146752205,0.399562951082598
3/18/2021,Maharashtra,3280955,523187,3804142,2.63107858861267,0.419556535685646
3/19/2021,Maharashtra,3501550,558783,4060333,2.8079791499599,0.448101844426624
3/20/2021,Maharashtra,3670363,595149,4265512,2.94335445068164,0.477264635124298
3/21/2021,Maharashtra,3682577,595905,4278482,2.95314915797915,0.477870890136327
3/22/2021,Maharashtra,3924766,630070,4554836,3.14736647955092,0.505268644747394
3/23/2021,Maharashtra,4093349,650488,4743837,3.28255733761026,0.521642341619888
3/24/2021,Maharashtra,4342646,672128,5014774,3.4824747393745,0.538995990376905
3/25/2021,Maharashtra,4541032,687865,5228897,3.64156535685646,0.551615878107458
3/26/2021,Maharashtra,4786833,707926,5494759,3.83867923015237,0.567703287890938
3/27/2021,Maharashtra,5004331,721705,5726036,4.01309623095429,0.578753007217322
3/28/2021,Maharashtra,5023688,722914,5746602,4.02861908580593,0.579722534081796
3/29/2021,Maharashtra,5057844,724821,5782665,4.05600962309543,0.581251804330393
3/30/2021,Maharashtra,5255093,738033,5993126,4.21418845228549,0.591846832397755
3/31/2021,Maharashtra,5454614,754723,6209337,4.3741892542101,0.605230954290297
4/1/2021,Maharashtra,5749202,770774,6519976,4.61042662389735,0.618102646351243
4/2/2021,Maharashtra,6247362,780138,7027500,5.00991339214114,0.625611868484362
4/3/2021,Maharashtra,6559094,795150,7354244,5.259898957498,0.637650360866079
4/4/2021,Maharashtra,6879975,806946,7686921,5.51722133119487,0.647109863672815
4/5/2021,Maharashtra,7298206,829042,8127248,5.85261106655974,0.664829190056135
4/6/2021,Maharashtra,7708299,851018,8559317,6.1814747393745,0.682452285485164
4/7/2021,Maharashtra,8075190,874370,8949560,6.47569366479551,0.701178829190056
4/8/2021,Maharashtra,8435010,903521,9338531,6.76424218123496,0.724555733761026
4/9/2021,Maharashtra,8702534,930190,9632724,6.97877626303128,0.745942261427426
4/10/2021,Maharashtra,8970148,953386,9923534,7.1933825180433,0.76454370489174
4/11/2021,Maharashtra,9220610,971743,10192353,7.39423416198877,0.779264635124298
4/12/2021,Maharashtra,9520725,1008651,10529376,7.63490376904571,0.808862068965517
4/13/2021,Maharashtra,9718039,1035908,10753947,7.79313472333601,0.830720128307939
4/14/2021,Maharashtra,10039359,1086075,11125434,8.05080914194066,0.870950280673617
4/15/2021,Maharashtra,10357897,1154831,11512728,8.30625260625501,0.92608740978348
4/16/2021,Maharashtra,10659857,1227002,11886859,8.54840176423416,0.983963111467522
4/17/2021,Maharashtra,10850268,1289185,12139453,8.70109703287891,1.03382919005613
4/18/2021,Maharashtra,10959587,1314386,12273973,8.78876263031275,1.05403849238172
4/19/2021,Maharashtra,11240723,1409543,12650266,9.01421251002406,1.13034723336006
4/20/2021,Maharashtra,11447503,1497497,12945000,9.18003448275862,1.20087971130714
4/21/2021,Maharashtra,11692299,1587671,13279970,9.37634242181235,1.27319246190858
4/22/2021,Maharashtra,11967170,1707979,13675149,9.59676824378508,1.36967040898156
4/23/2021,Maharashtra,12184898,1815094,13999992,9.7713696872494,1.45556856455493
4/24/2021,Maharashtra,12327006,1903207,14230213,9.88532959101844,1.52622854851644
4/25/2021,Maharashtra,12404727,1937989,14342716,9.94765597433841,1.55412109061748
4/26/2021,Maharashtra,12768755,2137788,14906543,10.239578989575,1.71434482758621
4/27/2021,Maharashtra,13031376,2290991,15322367,10.4501812349639,1.83720208500401
4/28/2021,Maharashtra,13184829,2393333,15578162,10.5732389735365,1.91927265437049
4/29/2021,Maharashtra,13360594,2510559,15871153,10.7141892542101,2.01327906976744
4/30/2021,Maharashtra,13562148,2622675,16184823,10.8758203688853,2.10318765036087
5/1/2021,Maharashtra,13662818,2659518,16322336,10.9565501202887,2.13273295910184
5/2/2021,Maharashtra,13677535,2665223,16342758,10.9683520449078,2.13730793905373
5/3/2021,Maharashtra,13736214,2685938,16422152,11.0154081796311,2.15391980753809
5/4/2021,Maharashtra,13792116,2728757,16520873,11.0602373696873,2.18825741780273
5/5/2021,Maharashtra,13915088,2866631,16781719,11.1588516439455,2.29882197273456
5/6/2021,Maharashtra,14162312,3081145,17243457,11.3571066559743,2.47084603047314
5/7/2021,Maharashtra,14383450,3234269,17617719,11.5344426623897,2.59363993584603
5/8/2021,Maharashtra,14542681,3316183,17858864,11.6621339214114,2.65932878909383
5/9/2021,Maharashtra,14622137,3348054,17970191,11.7258516439455,2.68488692862871
5/10/2021,Maharashtra,14776548,3487664,18264212,11.8496776263031,2.79684362469928
5/11/2021,Maharashtra,15004133,3644405,18648538,12.0321836407378,2.92253809141941
5/12/2021,Maharashtra,15154480,3811996,18966476,12.1527506014435,3.05693344025662
5/13/2021,Maharashtra,15287399,4025544,19312943,12.2593416198877,3.22818283881315
5/14/2021,Maharashtra,15344900,4124773,19469673,12.3054530874098,3.30775701684042
5/15/2021,Maharashtra,15465331,4198732,19664063,12.4020296712109,3.36706655974338
5/16/2021,Maharashtra,15512475,4220839,19733314,12.4398356054531,3.38479470729751
5/17/2021,Maharashtra,15584197,4249319,19833516,12.4973512429832,3.40763352044908
5/18/2021,Maharashtra,15669832,4269980,19939812,12.5660240577386,3.42420208500401
5/19/2021,Maharashtra,15743864,4297784,20041648,12.6253921411387,3.44649879711307
5/20/2021,Maharashtra,16123408,4341785,20465193,12.929757818765,3.48178428227747
5/21/2021,Maharashtra,16222952,4364605,20587557,13.0095846030473,3.500084202085
5/22/2021,Maharashtra,16324914,4385997,20710911,13.0913504410585,3.51723897353649
5/23/2021,Maharashtra,16370365,4389828,20760193,13.1277987169206,3.52031114675221
5/24/2021,Maharashtra,16607417,4406325,21013742,13.3178965517241,3.53354049719326
5/25/2021,Maharashtra,16791838,4420595,21212433,13.4657882919006,3.54498396150762
5/26/2021,Maharashtra,16920616,4431707,21352323,13.5690585404972,3.5538949478749
5/27/2021,Maharashtra,17181179,4458657,21639836,13.77801042502,3.57550681635926
5/28/2021,Maharashtra,17426603,4487246,21913849,13.9748219727346,3.59843303929431
5/29/2021,Maharashtra,17699104,4521400,22220504,14.1933472333601,3.62582197273456
5/30/2021,Maharashtra,17774757,4532241,22306998,14.2540152365678,3.63451563753007
5/31/2021,Maharashtra,18005790,4569691,22575481,14.439286287089,3.66454771451484
6/1/2021,Maharashtra,18216503,4616240,22832743,14.6082622293504,3.70187650360866
6/2/2021,Maharashtra,18400557,4651517,23052074,14.7558596631917,3.73016599839615
6/3/2021,Maharashtra,18612983,4679276,23292259,14.9262093023256,3.75242662389735
6/4/2021,Maharashtra,18940778,4727545,23668323,15.1890761828388,3.79113472333601
6/5/2021,Maharashtra,19251016,4771315,24022331,15.4378636728148,3.82623496391339
6/6/2021,Maharashtra,19331541,4784458,24115999,15.5024386527666,3.83677465918204
6/7/2021,Maharashtra,19559193,4852055,24411248,15.6849983961508,3.89098235765838
6/8/2021,Maharashtra,19748461,4932788,24681249,15.8367770649559,3.95572413793103
6/9/2021,Maharashtra,20007070,5008476,25015546,16.0441619887731,4.0164202085004
6/10/2021,Maharashtra,20199896,5066556,25266452,16.1987939053729,4.06299599037691
6/11/2021,Maharashtra,20404510,5116063,25520573,16.3628789093825,4.10269687249399
6/12/2021,Maharashtra,20646972,5170756,25817728,16.5573151563753,4.14655653568565
6/13/2021,Maharashtra,20727966,5181057,25909023,16.6222662389735,4.15481716118685
6/14/2021,Maharashtra,20995275,5233018,26228293,16.8366279069767,4.19648596631917
6/15/2021,Maharashtra,21198464,5281293,26479757,16.9995701684042,4.23519887730553
6/16/2021,Maharashtra,21391791,5328026,26719817,17.1546038492382,4.27267522052927
6/17/2021,Maharashtra,21551329,5372219,26923548,17.2825412991179,4.30811467522053
6/18/2021,Maharashtra,21737241,5412382,27149623,17.4316287089014,4.34032237369687
6/19/2021,Maharashtra,22099860,5476317,27576177,17.7224218123496,4.39159342421812
6/20/2021,Maharashtra,22216217,5483182,27699399,17.8157313552526,4.39709863672815
6/21/2021,Maharashtra,22548801,5534119,28082920,18.0824386527666,4.43794627105052
6/22/2021,Maharashtra,23036805,5608738,28645543,18.473781074579,4.49778508420209
6/23/2021,Maharashtra,23620724,5671918,29292642,18.942040096231,4.54845068163593
6/24/2021,Maharashtra,23993590,5730047,29723637,19.241050521251,4.59506575781877
6/25/2021,Maharashtra,24457024,5827552,30284576,19.6126896551724,4.67325741780273
6/26/2021,Maharashtra,25047327,5985707,31033034,20.0860681635926,4.80008580593424
6/27/2021,Maharashtra,25145226,6014297,31159523,20.1645757818765,4.82301283079391
6/28/2021,Maharashtra,25598933,6183394,31782327,20.5284145950281,4.95861587810746
6/29/2021,Maharashtra,25884142,6294973,32179115,20.7571307137129,5.04809382518043
6/30/2021,Maharashtra,26067919,6371846,32439765,20.9045060144346,5.10974017642342
7/1/2021,Maharashtra,26252955,6468296,32721251,21.0528909382518,5.18708580593424
7/2/2021,Maharashtra,26512936,6597723,33110659,21.2613761026464,5.29087650360866
7/3/2021,Maharashtra,27074275,6856957,33931232,21.7115276663994,5.49876263031275
7/4/2021,Maharashtra,27181412,6894863,34076275,21.7974434643144,5.52916038492382
7/5/2021,Maharashtra,27418684,6986438,34405122,21.9877177225341,5.6025966319166
7/6/2021,Maharashtra,27660383,7142815,34803198,22.1815421010425,5.72799919807538
7/7/2021,Maharashtra,28046874,7398150,35445024,22.4914787489976,5.93275862068966
7/8/2021,Maharashtra,28250377,7522771,35773148,22.6546728147554,6.03269526864475
7/9/2021,Maharashtra,28386834,7588525,35975359,22.764101042502,6.08542502004812
7/10/2021,Maharashtra,28600474,7744107,36344581,22.9354242181235,6.21019005613472
7/11/2021,Maharashtra,28703564,7822426,36525990,23.0180946271051,6.27299599037691
7/12/2021,Maharashtra,28982589,8042207,37024796,23.2418516439455,6.4492437850842
7/13/2021,Maharashtra,29348230,8168543,37516773,23.5350681635926,6.55055573376103
7/14/2021,Maharashtra,29557739,8366620,37924359,23.7030785886127,6.70939855653569
7/15/2021,Maharashtra,29723378,8544945,38268323,23.8359085805934,6.85240176423416
7/16/2021,Maharashtra,30053656,8841609,38895265,24.1007666399358,7.09030392943063
7/17/2021,Maharashtra,30339937,9042920,39382857,24.3303424218124,7.25174017642342
7/18/2021,Maharashtra,30417049,9096030,39513079,24.3921804330393,7.29433039294306
7/19/2021,Maharashtra,30636740,9275340,39912080,24.5683560545309,7.43812349639134
7/20/2021,Maharashtra,30752113,9356191,40108304,24.6608765036087,7.50295990376905
7/21/2021,Maharashtra,30819381,9398141,40217522,24.7148203688853,7.5366006415397
7/22/2021,Maharashtra,30922439,9499007,40421446,24.7974651162791,7.6174875701684
7/23/2021,Maharashtra,31160321,9695962,40856283,24.9882285485164,7.77543063352045
7/24/2021,Maharashtra,31356929,9844097,41201026,25.1458933440257,7.89422373696873
7/25/2021,Maharashtra,31424960,9894145,41319105,25.2004490777867,7.93435846030473
7/26/2021,Maharashtra,31669069,10100624,41769693,25.3962060946271,8.09993905372895
7/27/2021,Maharashtra,31989665,10362802,42352467,25.6532999198075,8.31018604651163
7/28/2021,Maharashtra,32189237,10518075,42707312,25.8133416198877,8.43470328789094
7/29/2021,Maharashtra,32394275,10688664,43082939,25.9777666399358,8.57150280673617
7/30/2021,Maharashtra,32793470,10971677,43765147,26.2978909382518,8.7984578989575
7/31/2021,Maharashtra,33381464,11201257,44582721,26.7694178027265,8.98256375300722
8/1/2021,Maharashtra,33440863,11231791,44672654,26.8170513231756,9.00704971932638
8/2/2021,Maharashtra,33651161,11354508,45005669,26.9856944667201,9.10545950280674
8/3/2021,Maharashtra,33796696,11449384,45246080,27.1024025661588,9.18154290296712
8/4/2021,Maharashtra,33939611,11535313,45474924,27.2170096230954,9.25045148356054
8/5/2021,Maharashtra,34255431,11740060,45995491,27.4702734562951,9.41464314354451
8/6/2021,Maharashtra,34530719,11846167,46376886,27.691033680834,9.49973295910185
8/7/2021,Maharashtra,34739849,11947723,46687572,27.8587401764234,9.58117321571772
8/8/2021,Maharashtra,34789942,11968889,46758831,27.8989109863673,9.59814675220529
8/9/2021,Maharashtra,35044144,12114068,47158212,28.1027618283881,9.71456936647955
8/10/2021,Maharashtra,35261712,12239857,47501569,28.2772349639134,9.81544266238974
8/11/2021,Maharashtra,35421888,12326358,47748246,28.4056840417001,9.88480994386528
8/12/2021,Maharashtra,35554925,12383314,47938239,28.5123696872494,9.93048436246993
8/13/2021,Maharashtra,35755010,12472836,48227846,28.6728227746592,10.0022742582197
8/14/2021,Maharashtra,36384800,12814601,49199401,29.1778668805132,10.2763440256616
8/15/2021,Maharashtra,36542647,12875413,49418060,29.3044482758621,10.3251106655974
8/16/2021,Maharashtra,36979429,13076064,50055493,29.6547145148356,10.4860176423416
8/17/2021,Maharashtra,37444743,13307700,50752443,30.0278612670409,10.6717722534082
8/18/2021,Maharashtra,37801328,13465810,51267138,30.3138155573376,10.7985645549318
8/19/2021,Maharashtra,37951602,13539557,51491159,30.4343239775461,10.8577040898156
8/20/2021,Maharashtra,38228399,13675638,51904037,30.6562943063352,10.9668307939054
8/21/2021,Maharashtra,38994650,14009863,53004513,31.2707698476343,11.2348540497193
8/22/2021,Maharashtra,39069171,14040408,53109579,31.3305300721732,11.2593488372093
8/23/2021,Maharashtra,39635783,14269913,53905696,31.7849101844427,11.4433945469126
8/24/2021,Maharashtra,40004541,14456478,54461019,32.0806263031275,11.5930056134723
8/25/2021,Maharashtra,40270837,14594471,54865308,32.2941756214916,11.7036655974338
8/26/2021,Maharashtra,40573317,14758347,55331664,32.5367417802727,11.8350817963111
8/27/2021,Maharashtra,41236695,15095680,56332375,33.0687209302326,12.1055974338412
8/29/2021,Maharashtra,41731841,15434981,57166822,33.4657906976744,12.3776912590217
8/30/2021,Maharashtra,42437256,15768004,58205260,34.0314803528468,12.6447506014435
8/31/2021,Maharashtra,43068668,15997164,59065832,34.537825180433,12.8285196471532
9/1/2021,Maharashtra,43791110,16282390,60073500,35.1171692060946,13.0572493985565
9/2/2021,Maharashtra,44280493,16498057,60778550,35.5096174819567,13.2301980753809
9/3/2021,Maharashtra,44771037,16745100,61516137,35.9029967923015,13.4283079390537
9/4/2021,Maharashtra,45566284,17190818,62757102,36.5407249398556,13.7857401764234
9/5/2021,Maharashtra,45687825,17263513,62951338,36.638191659984,13.8440360866079
9/6/2021,Maharashtra,46034724,17455640,63490364,36.9163785084202,13.998107457899
9/7/2021,Maharashtra,46432785,17645799,64078584,37.2355934242181,14.1506006415397
9/8/2021,Maharashtra,47595826,17986150,65581976,38.1682646351243,14.4235364875702
9/9/2021,Maharashtra,48333216,18262678,66595894,38.759595829992,14.6452910986367
9/10/2021,Maharashtra,48415321,18301192,66716513,38.825437850842,14.6761764234162
9/11/2021,Maharashtra,49125208,18564838,67690046,39.394713712911,14.8876006415397
9/12/2021,Maharashtra,49257090,18634318,67891408,39.5004731355253,14.9433183640738
9/13/2021,Maharashtra,49580776,18790591,68371367,39.7600449077787,15.0686375300722
9/14/2021,Maharashtra,49917440,18982391,68899831,40.0300240577386,15.2224466720128
9/15/2021,Maharashtra,50629841,19349683,69979524,40.6013159582999,15.5169871692061
9/16/2021,Maharashtra,51030168,19622589,70652757,40.9223480352847,15.7358372093023
9/17/2021,Maharashtra,51866440,20071190,71937630,41.5929751403368,16.0955813953488
9/18/2021,Maharashtra,52683079,20613097,73296176,42.2478580593424,16.5301499599038
9/19/2021,Maharashtra,52766279,20673908,73440187,42.3145781876504,16.578915797915
9/20/2021,Maharashtra,53277645,21051146,74328791,42.7246551724138,16.8814322373697
9/21/2021,Maharashtra,53696818,21360302,75057120,43.0608003207699,17.1293520449078
9/22/2021,Maharashtra,54361465,21803462,76164927,43.5937971130714,17.4847329591018
9/23/2021,Maharashtra,54812576,22108614,76921190,43.9555541299118,17.7294418604651
9/24/2021,Maharashtra,55096837,22368897,77465734,44.1835100240577,17.9381692060946
9/25/2021,Maharashtra,55412765,22690017,78102782,44.4368604651163,18.1956832397755
9/26/2021,Maharashtra,55543151,22783101,78326252,44.5414202085004,18.2703295910184
9/27/2021,Maharashtra,56168912,23209551,79378463,45.0432333600642,18.6123103448276
9/28/2021,Maharashtra,56541838,23567637,80109475,45.3422919005614,18.8994683239775
9/29/2021,Maharashtra,57091306,23914352,81005658,45.7829238171612,19.1775076182839
9/30/2021,Maharashtra,57633028,24261937,81894965,46.2173440256616,19.4562445870088
10/1/2021,Maharashtra,58110270,24632618,82742888,46.6000561347233,19.7535028067362
10/2/2021,Maharashtra,58553667,24978414,83532081,46.9556271050521,20.0308051323176
10/3/2021,Maharashtra,58617761,25034464,83652225,47.0070256615878,20.0757530072173
10/4/2021,Maharashtra,58910087,25288967,84199054,47.2414490777867,20.2798452285485
10/5/2021,Maharashtra,59148680,25499623,84648303,47.4327826784282,20.4487754611067
10/6/2021,Maharashtra,59463919,25734865,85198784,47.6855805934242,20.6374218123496
10/7/2021,Maharashtra,59725431,25944283,85669714,47.8952935044106,20.8053592622293
10/8/2021,Maharashtra,60165783,26264426,86430209,48.2484226142743,21.0620898155573
10/9/2021,Maharashtra,60652624,26640659,87293283,48.6388323977546,21.3638003207698
10/10/2021,Maharashtra,60926983,26795780,87722763,48.8588476343224,21.4881956696071
10/11/2021,Maharashtra,61448058,27107108,88555166,49.2767105052125,21.7378572574178
10/12/2021,Maharashtra,61951614,27382102,89333716,49.6805244587009,21.9583817161187
10/13/2021,Maharashtra,62441116,27622083,90063199,50.0730681635926,22.1508283881315
10/14/2021,Maharashtra,62897496,27848961,90746457,50.439050521251,22.3327674418605
