date,state,first dose,second dose,total dose,% of first dose,% of second dose
1/16/2021,Odisha,13746,0,13746,0.029371794871795,0
1/18/2021,Odisha,46506,0,46506,0.099371794871795,0
1/19/2021,Odisha,55138,0,55138,0.117816239316239,0
1/20/2021,Odisha,68743,0,68743,0.146886752136752,0
1/21/2021,Odisha,113623,0,113623,0.242784188034188,0
1/22/2021,Odisha,130007,0,130007,0.277792735042735,0
1/23/2021,Odisha,152371,0,152371,0.32557905982906,0
1/24/2021,Odisha,152371,0,152371,0.32557905982906,0
1/25/2021,Odisha,177090,0,177090,0.378397435897436,0
1/26/2021,Odisha,177090,0,177090,0.378397435897436,0
1/27/2021,Odisha,178227,0,178227,0.380826923076923,0
1/28/2021,Odisha,194058,0,194058,0.414653846153846,0
1/29/2021,Odisha,205200,0,205200,0.438461538461538,0
1/30/2021,Odisha,206424,0,206424,0.441076923076923,0
1/31/2021,Odisha,206424,0,206424,0.441076923076923,0
2/1/2021,Odisha,207462,0,207462,0.443294871794872,0
2/2/2021,Odisha,208205,0,208205,0.444882478632479,0
2/3/2021,Odisha,211346,0,211346,0.451594017094017,0
2/4/2021,Odisha,234923,0,234923,0.501972222222222,0
2/5/2021,Odisha,235680,0,235680,0.503589743589744,0
2/6/2021,Odisha,275055,0,275055,0.587724358974359,0
2/7/2021,Odisha,276323,0,276323,0.590433760683761,0
2/8/2021,Odisha,315725,0,315725,0.674626068376068,0
2/9/2021,Odisha,342254,0,342254,0.731311965811966,0
2/10/2021,Odisha,361623,0,361623,0.772698717948718,0
2/11/2021,Odisha,383023,0,383023,0.818425213675214,0
2/12/2021,Odisha,399670,0,399670,0.853995726495726,0
2/13/2021,Odisha,411939,0,411939,0.880211538461538,0
2/14/2021,Odisha,412046,0,412046,0.880440170940171,0
2/15/2021,Odisha,416756,10034,426790,0.890504273504273,0.021440170940171
2/16/2021,Odisha,417881,10590,428471,0.89290811965812,0.022628205128205
2/17/2021,Odisha,421142,18248,439390,0.899876068376068,0.038991452991453
2/18/2021,Odisha,429212,53401,482613,0.917119658119658,0.114104700854701
2/19/2021,Odisha,433584,68129,501713,0.926461538461538,0.145574786324786
2/20/2021,Odisha,438127,94966,533093,0.936168803418803,0.202918803418803
2/21/2021,Odisha,438127,94966,533093,0.936168803418803,0.202918803418803
2/22/2021,Odisha,443401,122741,566142,0.947438034188034,0.262267094017094
2/23/2021,Odisha,447176,130470,577646,0.955504273504273,0.278782051282051
2/24/2021,Odisha,450361,134587,584948,0.962309829059829,0.28757905982906
2/25/2021,Odisha,458368,154434,612802,0.979418803418803,0.329987179487179
2/26/2021,Odisha,460554,158267,618821,0.984089743589744,0.33817735042735
2/27/2021,Odisha,460554,158267,618821,0.984089743589744,0.33817735042735
2/28/2021,Odisha,460554,158267,618821,0.984089743589744,0.33817735042735
3/1/2021,Odisha,475608,165127,640735,1.01625641025641,0.35283547008547
3/2/2021,Odisha,499346,169152,668498,1.06697863247863,0.361435897435897
3/3/2021,Odisha,525494,171264,696758,1.12285042735043,0.365948717948718
3/4/2021,Odisha,569475,185176,754651,1.21682692307692,0.395675213675214
3/5/2021,Odisha,590213,188517,778730,1.26113888888889,0.402814102564103
3/6/2021,Odisha,623512,198600,822112,1.3322905982906,0.424358974358974
3/7/2021,Odisha,623512,198600,822112,1.3322905982906,0.424358974358974
3/8/2021,Odisha,676209,231787,907996,1.44489102564103,0.495271367521368
3/9/2021,Odisha,716886,255039,971925,1.53180769230769,0.544955128205128
3/10/2021,Odisha,744937,271999,1016936,1.59174572649573,0.581194444444444
3/11/2021,Odisha,747398,272809,1020207,1.59700427350427,0.582925213675214
3/12/2021,Odisha,798851,299260,1098111,1.70694658119658,0.639444444444445
3/13/2021,Odisha,850414,312535,1162949,1.81712393162393,0.667809829059829
3/14/2021,Odisha,850414,312535,1162949,1.81712393162393,0.667809829059829
3/15/2021,Odisha,952086,332435,1284521,2.03437179487179,0.710331196581197
3/16/2021,Odisha,1042071,342871,1384942,2.22664743589744,0.732630341880342
3/17/2021,Odisha,1123080,348236,1471316,2.39974358974359,0.744094017094017
3/18/2021,Odisha,1226047,355289,1581336,2.61975854700855,0.75916452991453
3/19/2021,Odisha,1326275,362407,1688682,2.83392094017094,0.774373931623932
3/20/2021,Odisha,1417557,367290,1784847,3.02896794871795,0.784807692307692
3/21/2021,Odisha,1417557,367290,1784847,3.02896794871795,0.784807692307692
3/22/2021,Odisha,1508320,373594,1881914,3.22290598290598,0.798277777777778
3/23/2021,Odisha,1582282,378445,1960727,3.38094444444444,0.808643162393162
3/24/2021,Odisha,1640229,381808,2022037,3.50476282051282,0.81582905982906
3/25/2021,Odisha,1708888,386329,2095217,3.65147008547009,0.825489316239316
3/26/2021,Odisha,1778321,389635,2167956,3.7998311965812,0.832553418803419
3/27/2021,Odisha,1844679,391944,2236623,3.94162179487179,0.837487179487179
3/28/2021,Odisha,1844679,391944,2236623,3.94162179487179,0.837487179487179
3/29/2021,Odisha,1844679,391944,2236623,3.94162179487179,0.837487179487179
3/30/2021,Odisha,1925880,401042,2326922,4.11512820512821,0.85692735042735
3/31/2021,Odisha,1999347,411674,2411021,4.27210897435897,0.879645299145299
4/1/2021,Odisha,2190790,423393,2614183,4.68117521367521,0.904685897435897
4/2/2021,Odisha,2309764,389688,2699452,4.93539316239316,0.832666666666667
4/3/2021,Odisha,2426177,397133,2823310,5.18413888888889,0.848574786324786
4/4/2021,Odisha,2710936,408445,3119381,5.79259829059829,0.872745726495726
4/5/2021,Odisha,2868211,418839,3287050,6.12865598290598,0.894955128205128
4/6/2021,Odisha,3076261,432219,3508480,6.57320726495727,0.923544871794872
4/7/2021,Odisha,3178508,439053,3617561,6.79168376068376,0.938147435897436
4/8/2021,Odisha,3317085,452068,3769153,7.08778846153846,0.965957264957265
4/9/2021,Odisha,3485921,470325,3956246,7.44854914529915,1.00496794871795
4/10/2021,Odisha,3607557,483794,4091351,7.70845512820513,1.03374786324786
4/11/2021,Odisha,3719357,494827,4214184,7.94734401709402,1.05732264957265
4/12/2021,Odisha,3843843,512252,4356095,8.21333974358974,1.09455555555556
4/13/2021,Odisha,3922145,522096,4444241,8.38065170940171,1.11558974358974
4/14/2021,Odisha,3993009,534902,4527911,8.53207051282051,1.14295299145299
4/15/2021,Odisha,4121043,564788,4685831,8.80564743589744,1.20681196581197
4/16/2021,Odisha,4207944,587076,4795020,8.99133333333333,1.2544358974359
4/17/2021,Odisha,4262088,603177,4865265,9.10702564102564,1.28883974358974
4/18/2021,Odisha,4311575,618792,4930367,9.21276709401709,1.32220512820513
4/19/2021,Odisha,4413360,659405,5072765,9.43025641025641,1.40898504273504
4/20/2021,Odisha,4499013,695368,5194381,9.61327564102564,1.48582905982906
4/21/2021,Odisha,4579807,726445,5306252,9.78591239316239,1.55223290598291
4/22/2021,Odisha,4645662,753671,5399333,9.92662820512821,1.61040811965812
4/23/2021,Odisha,4721327,788530,5509857,10.0883055555556,1.68489316239316
4/24/2021,Odisha,4733735,793337,5527072,10.1148183760684,1.69516452991453
4/25/2021,Odisha,4736047,794127,5530174,10.1197585470085,1.69685256410256
4/26/2021,Odisha,4791100,826957,5618057,10.2373931623932,1.76700213675214
4/27/2021,Odisha,4839305,854850,5694155,10.3403952991453,1.82660256410256
4/28/2021,Odisha,4868475,874980,5743455,10.4027243589744,1.86961538461538
4/29/2021,Odisha,4889676,889346,5779022,10.4480256410256,1.90031196581197
4/30/2021,Odisha,4928831,928900,5857731,10.5316901709402,1.98482905982906
5/1/2021,Odisha,4938814,933924,5872738,10.5530213675214,1.9955641025641
5/2/2021,Odisha,4939823,934584,5874407,10.5551773504274,1.99697435897436
5/3/2021,Odisha,4954922,961539,5916461,10.5874401709402,2.05457051282051
5/4/2021,Odisha,4967746,976874,5944620,10.6148418803419,2.08733760683761
5/5/2021,Odisha,4979757,988008,5967765,10.6405064102564,2.1111282051282
5/6/2021,Odisha,4995571,1021844,6017415,10.674297008547,2.18342735042735
5/7/2021,Odisha,5011769,1082478,6094247,10.7089081196581,2.31298717948718
5/8/2021,Odisha,5026362,1133636,6159998,10.7400897435897,2.42229914529915
5/9/2021,Odisha,5029216,1137479,6166695,10.746188034188,2.43051068376068
5/10/2021,Odisha,5044922,1247741,6292663,10.7797478632479,2.66611324786325
5/11/2021,Odisha,5072339,1320253,6392592,10.8383311965812,2.82105341880342
5/12/2021,Odisha,5098052,1350572,6448624,10.8932735042735,2.88583760683761
5/13/2021,Odisha,5126334,1370906,6497240,10.9537051282051,2.92928632478632
5/14/2021,Odisha,5148647,1394107,6542754,11.0013824786325,2.97886111111111
5/15/2021,Odisha,5174669,1402964,6577633,11.056985042735,2.99778632478632
5/16/2021,Odisha,5176084,1402985,6579069,11.0600085470085,2.9978311965812
5/17/2021,Odisha,5228704,1410472,6639176,11.1724444444444,3.01382905982906
5/18/2021,Odisha,5327488,1417510,6744998,11.3835213675214,3.02886752136752
5/19/2021,Odisha,5395085,1424553,6819638,11.5279594017094,3.04391666666667
5/20/2021,Odisha,5532422,1431856,6964278,11.8214145299145,3.05952136752137
5/21/2021,Odisha,5578382,1436139,7014521,11.9196196581197,3.06867307692308
5/22/2021,Odisha,5659104,1440698,7099802,12.0921025641026,3.07841452991453
5/23/2021,Odisha,5675171,1440858,7116029,12.1264337606838,3.07875641025641
5/24/2021,Odisha,5782898,1445240,7228138,12.3566196581197,3.08811965811966
5/25/2021,Odisha,5876860,1448470,7325330,12.5573931623932,3.09502136752137
5/26/2021,Odisha,5926992,1448686,7375678,12.6645128205128,3.09548290598291
5/27/2021,Odisha,6024028,1453617,7477645,12.8718547008547,3.10601923076923
5/28/2021,Odisha,6138143,1464054,7602197,13.1156901709402,3.12832051282051
5/29/2021,Odisha,6236232,1470637,7706869,13.3252820512821,3.14238675213675
5/30/2021,Odisha,6255145,1470658,7725803,13.3656944444444,3.14243162393162
5/31/2021,Odisha,6378928,1477093,7856021,13.630188034188,3.15618162393162
6/1/2021,Odisha,6477001,1483088,7960089,13.8397457264957,3.16899145299145
6/2/2021,Odisha,6545385,1486865,8032250,13.9858653846154,3.17706196581197
6/3/2021,Odisha,6616809,1491547,8108356,14.1384807692308,3.18706623931624
6/4/2021,Odisha,6700223,1498077,8198300,14.3167158119658,3.20101923076923
6/5/2021,Odisha,6772575,1504884,8277459,14.4713141025641,3.2155641025641
6/6/2021,Odisha,6785482,1505041,8290523,14.4988931623932,3.21589957264957
6/7/2021,Odisha,6930830,1524319,8455149,14.8094658119658,3.25709188034188
6/8/2021,Odisha,7058166,1545369,8603535,15.0815512820513,3.30207051282051
6/9/2021,Odisha,7177475,1566700,8744175,15.336485042735,3.34764957264957
6/10/2021,Odisha,7218256,1580772,8799028,15.4236239316239,3.37771794871795
6/11/2021,Odisha,7288993,1606999,8895992,15.5747713675214,3.43375854700855
6/12/2021,Odisha,7336124,1629715,8965839,15.6754786324786,3.48229700854701
6/13/2021,Odisha,7344019,1631043,8975062,15.6923482905983,3.48513461538462
6/14/2021,Odisha,7398819,1653991,9052810,15.8094423076923,3.5341688034188
6/15/2021,Odisha,7490444,1682551,9172995,16.0052222222222,3.59519444444444
6/16/2021,Odisha,7611193,1719081,9330274,16.2632329059829,3.67325
6/17/2021,Odisha,7728962,1749729,9478691,16.5148760683761,3.73873717948718
6/18/2021,Odisha,7849507,1773752,9623259,16.7724508547009,3.79006837606838
6/19/2021,Odisha,8007028,1806556,9813584,17.1090341880342,3.86016239316239
6/20/2021,Odisha,8029756,1808411,9838167,17.1575982905983,3.86412606837607
6/21/2021,Odisha,8296961,1840090,10137051,17.7285491452991,3.93181623931624
6/22/2021,Odisha,8555664,1866959,10422623,18.2813333333333,3.98922863247863
6/23/2021,Odisha,8861348,1890915,10752263,18.9345042735043,4.04041666666667
6/24/2021,Odisha,9106505,1926180,11032685,19.458344017094,4.11576923076923
6/25/2021,Odisha,9329423,1967738,11297161,19.9346645299145,4.20456837606838
6/26/2021,Odisha,9517490,2022911,11540401,20.3365170940171,4.3224594017094
6/27/2021,Odisha,9541255,2030467,11571722,20.387297008547,4.3386047008547
6/28/2021,Odisha,9734916,2100480,11835396,20.8011025641026,4.48820512820513
6/29/2021,Odisha,9824280,2136843,11961123,20.9920512820513,4.56590384615385
6/30/2021,Odisha,9868279,2148249,12016528,21.0860662393162,4.59027564102564
7/1/2021,Odisha,9899724,2155500,12055224,21.1532564102564,4.60576923076923
7/2/2021,Odisha,9927389,2162831,12090220,21.2123696581197,4.62143376068376
7/3/2021,Odisha,9996014,2206539,12202553,21.3590042735043,4.71482692307692
7/4/2021,Odisha,10017262,2220081,12237343,21.404405982906,4.74376282051282
7/5/2021,Odisha,10221766,2370621,12592387,21.8413803418803,5.06542948717949
7/6/2021,Odisha,10421760,2505430,12927190,22.2687179487179,5.35348290598291
7/7/2021,Odisha,10542457,2589364,13131821,22.5266175213675,5.53282905982906
7/8/2021,Odisha,10623963,2652090,13276053,22.7007756410256,5.66685897435897
7/9/2021,Odisha,10683343,2693487,13376830,22.827655982906,5.7553141025641
7/10/2021,Odisha,10727017,2716948,13443965,22.9209764957265,5.80544444444444
7/11/2021,Odisha,10732741,2718827,13451568,22.9332072649573,5.8094594017094
7/12/2021,Odisha,10774116,2729001,13503117,23.0216153846154,5.83119871794872
7/13/2021,Odisha,10923291,2747474,13670765,23.3403653846154,5.87067094017094
7/14/2021,Odisha,10995438,2821725,13817163,23.4945256410256,6.02932692307692
7/15/2021,Odisha,11092426,2924665,14017091,23.701764957265,6.24928418803419
7/16/2021,Odisha,11147349,2996773,14144122,23.8191217948718,6.40336111111111
7/17/2021,Odisha,11189886,3071920,14261806,23.9100128205128,6.56393162393162
7/18/2021,Odisha,11197465,3078500,14275965,23.9262072649573,6.57799145299145
7/19/2021,Odisha,11330737,3242484,14573221,24.2109764957265,6.92838461538462
7/20/2021,Odisha,11442447,3348631,14791078,24.4496730769231,7.15519444444444
7/21/2021,Odisha,11512863,3408325,14921188,24.6001346153846,7.28274572649573
7/22/2021,Odisha,11613471,3491614,15105085,24.815108974359,7.46071367521368
