date,state,first dose,second dose,total dose,% of first dose,% of second dose
1/16/2021,Tamil Nadu,2945,0,2945,0.00373730964467,0
1/18/2021,Tamil Nadu,16462,0,16462,0.020890862944163,0
1/19/2021,Tamil Nadu,25251,0,25251,0.032044416243655,0
1/20/2021,Tamil Nadu,33670,0,33670,0.042728426395939,0
1/21/2021,Tamil Nadu,42947,0,42947,0.054501269035533,0
1/22/2021,Tamil Nadu,51651,0,51651,0.065546954314721,0
1/23/2021,Tamil Nadu,59226,0,59226,0.075159898477157,0
1/24/2021,Tamil Nadu,61720,0,61720,0.078324873096447,0
1/25/2021,Tamil Nadu,69027,0,69027,0.087597715736041,0
1/26/2021,Tamil Nadu,73953,0,73953,0.093848984771574,0
1/27/2021,Tamil Nadu,82039,0,82039,0.104110406091371,0
1/28/2021,Tamil Nadu,88467,0,88467,0.112267766497462,0
1/29/2021,Tamil Nadu,97126,0,97126,0.123256345177665,0
1/30/2021,Tamil Nadu,105821,0,105821,0.134290609137056,0
1/31/2021,Tamil Nadu,105821,0,105821,0.134290609137056,0
2/1/2021,Tamil Nadu,112687,0,112687,0.143003807106599,0
2/2/2021,Tamil Nadu,120745,0,120745,0.153229695431472,0
2/3/2021,Tamil Nadu,133434,0,133434,0.169332487309645,0
2/4/2021,Tamil Nadu,145928,0,145928,0.185187817258883,0
2/5/2021,Tamil Nadu,157324,0,157324,0.199649746192893,0
2/6/2021,Tamil Nadu,166408,0,166408,0.211177664974619,0
2/7/2021,Tamil Nadu,166408,0,166408,0.211177664974619,0
2/8/2021,Tamil Nadu,175027,0,175027,0.222115482233503,0
2/9/2021,Tamil Nadu,185577,0,185577,0.235503807106599,0
2/10/2021,Tamil Nadu,197392,0,197392,0.250497461928934,0
2/11/2021,Tamil Nadu,211762,0,211762,0.268733502538071,0
2/12/2021,Tamil Nadu,227542,0,227542,0.288758883248731,0
2/13/2021,Tamil Nadu,246420,1154,247574,0.312715736040609,0.001464467005076
2/14/2021,Tamil Nadu,246420,1154,247574,0.312715736040609,0.001464467005076
2/15/2021,Tamil Nadu,264283,4936,269219,0.335384517766497,0.006263959390863
2/16/2021,Tamil Nadu,280892,9356,290248,0.35646192893401,0.011873096446701
2/17/2021,Tamil Nadu,295338,14039,309377,0.374794416243655,0.017815989847716
2/18/2021,Tamil Nadu,309692,20125,329817,0.393010152284264,0.025539340101523
2/19/2021,Tamil Nadu,324537,25746,350283,0.411848984771574,0.032672588832487
2/20/2021,Tamil Nadu,339686,31160,370846,0.431073604060914,0.039543147208122
2/21/2021,Tamil Nadu,339686,31160,370846,0.431073604060914,0.039543147208122
2/22/2021,Tamil Nadu,349527,36073,385600,0.443562182741117,0.045777918781726
2/23/2021,Tamil Nadu,359063,41337,400400,0.455663705583756,0.052458121827411
2/24/2021,Tamil Nadu,368678,46149,414827,0.467865482233503,0.058564720812183
2/25/2021,Tamil Nadu,378411,50844,429255,0.480217005076142,0.064522842639594
2/26/2021,Tamil Nadu,388896,56432,445328,0.493522842639594,0.07161421319797
2/27/2021,Tamil Nadu,388896,56432,445328,0.493522842639594,0.07161421319797
2/28/2021,Tamil Nadu,388896,56432,445328,0.493522842639594,0.07161421319797
3/1/2021,Tamil Nadu,414032,66379,480411,0.525421319796954,0.08423730964467
3/2/2021,Tamil Nadu,450651,71403,522054,0.571892131979695,0.090612944162437
3/3/2021,Tamil Nadu,510361,78030,588391,0.647666243654822,0.099022842639594
3/4/2021,Tamil Nadu,585353,84064,669417,0.742833756345178,0.106680203045685
3/5/2021,Tamil Nadu,670563,91062,761625,0.850968274111675,0.115560913705584
3/6/2021,Tamil Nadu,749180,97917,847097,0.950736040609137,0.124260152284264
3/7/2021,Tamil Nadu,749180,97917,847097,0.950736040609137,0.124260152284264
3/8/2021,Tamil Nadu,852767,104581,957348,1.08219162436548,0.132717005076142
3/9/2021,Tamil Nadu,925927,111897,1037824,1.17503426395939,0.142001269035533
3/10/2021,Tamil Nadu,1005619,119105,1124724,1.27616624365482,0.15114847715736
3/11/2021,Tamil Nadu,1078862,126323,1205185,1.36911421319797,0.160308375634518
3/12/2021,Tamil Nadu,1162732,135519,1298251,1.47554822335025,0.171978426395939
3/13/2021,Tamil Nadu,1240261,143923,1384184,1.57393527918782,0.182643401015228
3/14/2021,Tamil Nadu,1240261,143923,1384184,1.57393527918782,0.182643401015228
3/15/2021,Tamil Nadu,1347180,152565,1499745,1.7096192893401,0.193610406091371
3/16/2021,Tamil Nadu,1443532,163399,1606931,1.83189340101523,0.207359137055838
3/17/2021,Tamil Nadu,1544770,173543,1718313,1.96036802030457,0.220232233502538
3/18/2021,Tamil Nadu,1655864,184205,1840069,2.10135025380711,0.23376269035533
3/19/2021,Tamil Nadu,1768349,196301,1964650,2.24409771573604,0.249112944162437
3/20/2021,Tamil Nadu,1878339,207782,2086121,2.38367893401015,0.263682741116751
3/21/2021,Tamil Nadu,1878339,207782,2086121,2.38367893401015,0.263682741116751
3/22/2021,Tamil Nadu,2019260,219495,2238755,2.56251269035533,0.278546954314721
3/23/2021,Tamil Nadu,2115424,228488,2343912,2.68454822335025,0.289959390862944
3/24/2021,Tamil Nadu,2203535,234718,2438253,2.79636421319797,0.297865482233503
3/25/2021,Tamil Nadu,2297100,240102,2537202,2.91510152284264,0.304697969543147
3/26/2021,Tamil Nadu,2398870,246944,2645814,3.04425126903553,0.313380710659898
3/27/2021,Tamil Nadu,2498283,253345,2751628,3.17040989847716,0.321503807106599
3/28/2021,Tamil Nadu,2498283,253345,2751628,3.17040989847716,0.321503807106599
3/29/2021,Tamil Nadu,2611426,260087,2871513,3.3139923857868,0.330059644670051
3/30/2021,Tamil Nadu,2684001,268310,2952311,3.40609263959391,0.340494923857868
3/31/2021,Tamil Nadu,2757835,273796,3031631,3.49979060913706,0.347456852791878
4/1/2021,Tamil Nadu,2835444,279179,3114623,3.59827918781726,0.35428807106599
4/2/2021,Tamil Nadu,2829190,272288,3101478,3.59034263959391,0.345543147208122
4/3/2021,Tamil Nadu,2871776,279902,3151678,3.64438578680203,0.355205583756345
4/4/2021,Tamil Nadu,2901208,285389,3186597,3.68173604060914,0.362168781725888
4/5/2021,Tamil Nadu,2907580,298198,3205778,3.68982233502538,0.37842385786802
4/6/2021,Tamil Nadu,2935315,304106,3239421,3.72501903553299,0.385921319796954
4/7/2021,Tamil Nadu,2976866,315243,3292109,3.77774873096447,0.400054568527919
4/8/2021,Tamil Nadu,3062266,339932,3402198,3.88612436548223,0.43138578680203
4/9/2021,Tamil Nadu,3168084,365785,3533869,4.02041116751269,0.464194162436548
4/10/2021,Tamil Nadu,3275326,391223,3666549,4.15650507614213,0.496475888324873
4/11/2021,Tamil Nadu,3316627,398666,3715293,4.20891751269036,0.505921319796954
4/12/2021,Tamil Nadu,3450649,431129,3881778,4.3789961928934,0.547118020304569
4/13/2021,Tamil Nadu,3567442,453618,4021060,4.52721065989848,0.575657360406091
4/14/2021,Tamil Nadu,3641255,469197,4110452,4.62088197969543,0.595427664974619
