date,state,first dose,second dose,total dose,% of first dose,% of second dose
1/16/2021,Uttar Pradesh,21291,0,21291,0.008834439834025,0
1/18/2021,Uttar Pradesh,22644,0,22644,0.009395850622407,0
1/19/2021,Uttar Pradesh,22644,0,22644,0.009395850622407,0
1/20/2021,Uttar Pradesh,22644,0,22644,0.009395850622407,0
1/21/2021,Uttar Pradesh,22644,0,22644,0.009395850622407,0
1/22/2021,Uttar Pradesh,123761,0,123761,0.051353112033195,0
1/23/2021,Uttar Pradesh,123761,0,123761,0.051353112033195,0
1/24/2021,Uttar Pradesh,123761,0,123761,0.051353112033195,0
1/25/2021,Uttar Pradesh,123761,0,123761,0.051353112033195,0
1/26/2021,Uttar Pradesh,123761,0,123761,0.051353112033195,0
1/27/2021,Uttar Pradesh,123761,0,123761,0.051353112033195,0
1/28/2021,Uttar Pradesh,294959,0,294959,0.122389626556017,0
1/29/2021,Uttar Pradesh,463793,0,463793,0.192445228215768,0
1/30/2021,Uttar Pradesh,463793,0,463793,0.192445228215768,0
1/31/2021,Uttar Pradesh,463793,0,463793,0.192445228215768,0
2/1/2021,Uttar Pradesh,463793,0,463793,0.192445228215768,0
2/2/2021,Uttar Pradesh,463793,0,463793,0.192445228215768,0
2/3/2021,Uttar Pradesh,463793,0,463793,0.192445228215768,0
2/4/2021,Uttar Pradesh,589101,0,589101,0.244440248962656,0
2/5/2021,Uttar Pradesh,673542,0,673542,0.279478008298755,0
2/6/2021,Uttar Pradesh,673542,0,673542,0.279478008298755,0
2/7/2021,Uttar Pradesh,673542,0,673542,0.279478008298755,0
2/8/2021,Uttar Pradesh,673542,0,673542,0.279478008298755,0
2/9/2021,Uttar Pradesh,673542,0,673542,0.279478008298755,0
2/10/2021,Uttar Pradesh,673542,0,673542,0.279478008298755,0
2/11/2021,Uttar Pradesh,763421,0,763421,0.316772199170124,0
2/12/2021,Uttar Pradesh,858602,0,858602,0.356266390041494,0
2/13/2021,Uttar Pradesh,858602,0,858602,0.356266390041494,0
2/14/2021,Uttar Pradesh,858602,0,858602,0.356266390041494,0
2/15/2021,Uttar Pradesh,916568,18394,934962,0.38031867219917,0.007632365145228
2/16/2021,Uttar Pradesh,916568,18394,934962,0.38031867219917,0.007632365145228
2/17/2021,Uttar Pradesh,916568,18394,934962,0.38031867219917,0.007632365145228
2/18/2021,Uttar Pradesh,1052431,18464,1070895,0.436693360995851,0.007661410788382
2/19/2021,Uttar Pradesh,1066290,85752,1152042,0.44244398340249,0.035581742738589
2/20/2021,Uttar Pradesh,1066290,85752,1152042,0.44244398340249,0.035581742738589
2/21/2021,Uttar Pradesh,1066290,85752,1152042,0.44244398340249,0.035581742738589
2/22/2021,Uttar Pradesh,1140754,86021,1226775,0.473341908713693,0.035693360995851
2/23/2021,Uttar Pradesh,1140754,86021,1226775,0.473341908713693,0.035693360995851
2/24/2021,Uttar Pradesh,1140754,86021,1226775,0.473341908713693,0.035693360995851
2/25/2021,Uttar Pradesh,1167285,203454,1370739,0.484350622406639,0.084420746887967
2/26/2021,Uttar Pradesh,1170925,310058,1480983,0.485860995850622,0.128654771784232
2/27/2021,Uttar Pradesh,1170925,310058,1480983,0.485860995850622,0.128654771784232
2/28/2021,Uttar Pradesh,1170925,310058,1480983,0.485860995850622,0.128654771784232
3/1/2021,Uttar Pradesh,1178302,310119,1488421,0.488921991701245,0.128680082987552
3/2/2021,Uttar Pradesh,1178302,310119,1488421,0.488921991701245,0.128680082987552
3/3/2021,Uttar Pradesh,1178302,310119,1488421,0.488921991701245,0.128680082987552
3/4/2021,Uttar Pradesh,1228226,364486,1592712,0.50963734439834,0.151239004149378
3/5/2021,Uttar Pradesh,1291419,410242,1701661,0.535858506224066,0.17022489626556
3/6/2021,Uttar Pradesh,1300671,411044,1711715,0.539697510373444,0.170557676348548
3/7/2021,Uttar Pradesh,1300671,411044,1711715,0.539697510373444,0.170557676348548
3/8/2021,Uttar Pradesh,1501803,416526,1918329,0.623154771784232,0.172832365145228
3/9/2021,Uttar Pradesh,1518536,416986,1935522,0.630097925311203,0.173023236514523
3/10/2021,Uttar Pradesh,1539060,417448,1956508,0.638614107883817,0.173214937759336
3/11/2021,Uttar Pradesh,1541820,417492,1959312,0.639759336099585,0.173233195020747
3/12/2021,Uttar Pradesh,1790224,499242,2289466,0.74283153526971,0.207154356846473
3/13/2021,Uttar Pradesh,1813437,501476,2314913,0.752463485477178,0.20808132780083
3/14/2021,Uttar Pradesh,1818627,501527,2320154,0.754617012448133,0.208102489626556
3/15/2021,Uttar Pradesh,2398586,568148,2966734,0.995263900414938,0.235746058091286
3/16/2021,Uttar Pradesh,2510657,632615,3143272,1.04176639004149,0.262495850622407
3/17/2021,Uttar Pradesh,2607439,638884,3246323,1.08192489626556,0.265097095435685
3/18/2021,Uttar Pradesh,2912986,755959,3668945,1.20870788381743,0.313675933609958
3/19/2021,Uttar Pradesh,3224855,783705,4008560,1.33811410788382,0.325188796680498
3/20/2021,Uttar Pradesh,3336540,789966,4126506,1.38445643153527,0.327786721991701
3/21/2021,Uttar Pradesh,3341941,790194,4132135,1.38669751037344,0.32788132780083
3/22/2021,Uttar Pradesh,3668823,865048,4533871,1.52233319502075,0.358941078838174
3/23/2021,Uttar Pradesh,3779843,873862,4653705,1.56839958506224,0.362598340248963
